"--Select--","--Selecteaza--"
"Add New Option","Adauga o Noua Optiune"
"Add Selection","Adaugati Selectia"
"As low as","Începând de la"
"Bundle Items","Obiecte la pachet"
"Bundle Product","Produse la pachet"
"Buy %1$s with %2$s discount each","Cumpara %1$s cu discount de %2$s la fiecare"
"Checkbox","Checkbox"
"Choose a selection...","Alege o selectie..."
"Close","Închide"
"Default","Implicit"
"Default Qty","Default Qty"
"Default Title","Titlu Implicit"
"Drop-down","Drop-down"
"Dynamic","Dinamic"
"Excl. Tax","Fără TVA"
"Fixed","Fix"
"From","De la"
"From:","De la:"
"Gift Message","Gift Message"
"Incl. Tax","Cu TVA"
"Input Type","Input Type"
"Is Required","Este necesar"
"Message:","Mesaj:"
"Multiple Select","Alegere multiplă"
"N/A","Indisponibil"
"No options of this product are available.","Nicio opţiune a acestui produs nu este disponibilă."
"None","Niciunul"
"Percent","Procent"
"Percent Discount","Discount Procente"
"Please enter search conditions to view products.","Va rog sa introduceti conditiile pentru a vizualiza produse."
"Please select options for product.","Va rog sa selectati optiuni pentru produs."
"Please select products to add","Va rog sa selectati produse de adaugat"
"Please specify product option(s)","Vă rog să specificaţi opţiunea(-ile) pentru produs"
"Position","Poziţia"
"Price Range","Pret Intre"
"Price Type","Tip preţ"
"Price as configured","Preţul cum a fost configurat"
"Qty:","Qty:"
"Radio Buttons","Butoane radio"
"Required options not selected.","Opţiunile necesare nu au fost selectate."
"Selected required options not available.","Opţiunea necesară aleasă nu este disponibilă."
"Separately","Separat"
"Ship Bundle Items","Expediere obiecte la pachet"
"Shipment","Transport"
"Store View Title","Titlul vitrinei"
"There is no defined renderer for ""%s"" option type","There is no defined renderer for ""%s"" option type"
"This product is also part of bundle(s)","Acest produs face parte şi din pachetul/ele"
"To","Către"
"To:","Către:"
"Together","Împreună"
"User Defined Qty","User Defined Qty"
